,_id,Name,Type,Review-Count,Categories,Ratings,Latitude,Longitude,Transactions,Address,City,Zipcode,State,Phone,Distance
12,1rxKD0YQaOtmLipFR4UyJw,Bar Hustle,restaurants,14,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.8,35.13436,-90.05936,[],477 S Main St,Memphis,38103,TN,+19017017490,2675.5553011431207
13,XpWyXgBixst8yPKELO9P-Q,Inkwell,restaurants,16,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,35.14138190459028,-90.0401485208069,[],631 Madison Ave,Memphis,38103,TN,,1468.9056697671383
14,gJKATX9oa71yAHb7hZtC0w,Meddlesome Brewing company,restaurants,40,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.6,35.1412,-89.80381,[],7750 Trinity Rd,Cordova,38018,TN,+19012071147,20606.848205167003
15,OuXGvXjkXH-SAhxQ87WLdQ,Lamplighter Lounge,restaurants,45,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.9,35.1382257,-90.0044788,"['delivery', 'pickup']",1702 Madison Ave,Memphis,38104,TN,+19015675322,2479.521034606018
16,7313Jrbz0T7_rTds4PbQGg,Old Dominick Distillery,restaurants,99,"[{'alias': 'distilleries', 'title': 'Distilleries'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.6,35.138530331593834,-90.05821646713184,[],305 S Front St,Memphis,38103,TN,+19012601250,2681.8558334120366
17,3ZGOgZPpozaLVEWjL2R_mw,Ghost River Brewing,restaurants,24,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.7,35.1391979,-90.0497271,[],341 Beale St,Memphis,38103,TN,+19015388333,2009.3109722058002
18,0M97qCWWNtpXeqN5LwOc_g,Louis Connelly’s Bar,restaurants,1,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,35.13322,-90.01662,[],322 S Cleveland St,Memphis,38104,TN,+12078379061,1263.608091656946
19,cXc6OoBPoj1TX2eunnOlTQ,The Jungle Room Bar,restaurants,2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",3.5,35.048141,-90.025884,[],3717 Elvis Presley Blvd,Memphis,38116,TN,+19013323322,9218.165593021376
20,DGrB-YPYHqNRs0RDunQLjg,In Love Memphis,bars,52,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.9,35.049496,-89.825294,[],7144 Winchester Rd,Memphis,38125,TN,+19014178042,20728.803406474733
21,yC_xP1bacsdVIVsLSA9LCQ,Flip Side,bars,19,"[{'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'bars', 'title': 'Bars'}]",3.7,35.15090577172833,-90.01461349632413,[],1349 Autumn Ave,Memphis,38104,TN,+19012076193,2632.0339518228234
22,Dg6AoMv3PvvWEeVWbeufYw,Absinthe Room,bars,66,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'arcades', 'title': 'Arcades'}]",3.8,35.139874,-90.0526106,[],162 Beale St,Memphis,38103,TN,+19015211851,2258.8401121594484
23,kksLEnXcwq7xMl6cTFMG4A,Black Lodge,bars,38,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'karaoke', 'title': 'Karaoke'}]",4.5,35.149922,-90.014618,[],405 N Cleveland St,Memphis,38104,TN,+19014241514,2536.1531273284654
24,lO5f79sJN1-RVeS_EXAszA,High Cotton Brewing Co. Taproom,bars,118,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",4.5,35.1407937705517,-90.040290132165,[],598 Monroe Ave,Memphis,38103,TN,+19015434444,1515.4831303010144
25,DjoF_Vsltvf4nP25Ve2sZQ,Cameo,bars,21,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,35.13504181265387,-90.0005415080826,[],1835 Union Ave,Memphis,38104,TN,+19013056911,2735.9776307755637
26,sQDYdbzPqpKSbKqQ8gh3qA,Bardog Tavern,bars,394,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.1,35.14421,-90.05404,"['pickup', 'delivery']",73 Monroe Ave,Memphis,38103,TN,+19012758752,2617.221088416935
27,XSnEBCn_wlkfSLNKr5dT_Q,Memphis Whistle,bars,19,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American'}]",4.7,35.11932,-89.98566,['delivery'],2299 Young Ave,Memphis,38104,TN,+19012367136,4250.443668828917
28,Z9S7toibIcZS8OaOBLJclA,Momma's,bars,37,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.4,35.12434,-90.06383,[],855 Kentucky St,Memphis,38106,TN,+19012075111,3147.117683883901
29,ipxA_nhXbAHLTSxx1hEYKA,The Pocket,bars,26,"[{'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.2,35.14273,-90.05318,['delivery'],115 Union Ave,Memphis,38103,TN,,2464.793942166714
30,lgA9sdlDiSwyxT5v17VHBA,Cheyenne Country,bars,1,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",5.0,35.02191448788365,-89.99789339834528,[],1976 E Shelby Dr,Memphis,38116,TN,+19013462113,12477.563969477678
31,xp16CizZGOTvb_tDWztfZA,Bog & Barley,bars,138,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'irish_pubs', 'title': 'Irish Pub'}]",4.5,35.102801000793676,-89.85755464331618,[],6150 Poplar Ave,Memphis,38119,TN,+19018052262,16013.354174018194
32,1rxKD0YQaOtmLipFR4UyJw,Bar Hustle,bars,14,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.8,35.13436,-90.05936,[],477 S Main St,Memphis,38103,TN,+19017017490,2675.5553011431207
33,XpWyXgBixst8yPKELO9P-Q,Inkwell,bars,16,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,35.14138190459028,-90.0401485208069,[],631 Madison Ave,Memphis,38103,TN,,1468.9056697671383
34,gJKATX9oa71yAHb7hZtC0w,Meddlesome Brewing company,bars,40,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.6,35.1412,-89.80381,[],7750 Trinity Rd,Cordova,38018,TN,+19012071147,20606.848205167003
35,OuXGvXjkXH-SAhxQ87WLdQ,Lamplighter Lounge,bars,45,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.9,35.1382257,-90.0044788,"['pickup', 'delivery']",1702 Madison Ave,Memphis,38104,TN,+19015675322,2479.521034606018
36,7313Jrbz0T7_rTds4PbQGg,Old Dominick Distillery,bars,99,"[{'alias': 'distilleries', 'title': 'Distilleries'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.6,35.138530331593834,-90.05821646713184,[],305 S Front St,Memphis,38103,TN,+19012601250,2681.8558334120366
37,3ZGOgZPpozaLVEWjL2R_mw,Ghost River Brewing,bars,24,"[{'alias': 'breweries', 'title': 'Breweries'}]",4.7,35.1391979,-90.0497271,[],341 Beale St,Memphis,38103,TN,+19015388333,2009.3109722058002
38,0M97qCWWNtpXeqN5LwOc_g,Louis Connelly’s Bar,bars,1,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,35.13322,-90.01662,[],322 S Cleveland St,Memphis,38104,TN,+12078379061,1263.608091656946
39,cXc6OoBPoj1TX2eunnOlTQ,The Jungle Room Bar,bars,2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'New American'}]",3.5,35.048141,-90.025884,[],3717 Elvis Presley Blvd,Memphis,38116,TN,+19013323322,9218.165593021376
